Name,City,State,Postal Code,Latitude,Longitude,Floorsize,Url,Price,Home Type,Perks,Listing Overview,Bedrooms,Bathrooms,User Views,User Saves,Days on Website,First Floor Dimensions,Flooring,Heating features,Cooling features,Appliances included,Interior features,Parking features,Number of Stories,Lot Size (sqft),Parcel Number,Architectural Style,Home Types,Year built,Sewer Information,Security features,Sub Division,Buyer Agency Compensation,Second Floor Dimensions,Total Parking Spaces,Garage Parking Spaces,Covered Parking Spaces,Community features,Carport Parking Spaces,Basement Dimensions,Third Floor Dimensions,Laundry features,Additional Structures,HOA Status,HOA Fee (monthly),Window Features,Interior Features,Indoor air quality,Water conservation,Construction elements,Lot features
14809 Hampton Ct,Dallas,TX,75254,32.948406,-96.81144,10982,https://www.zillow.com/homedetails/14809-Hampton-Ct-Dallas-TX-75254/26936287_zpid/,3500000,House,Resort-style backyardFitness roomSoaring ceilingFull kitchenGuest suitePrivate entranceExecutive study,"LUXURY ESTATE on premier double lot in North Dallas’ prestigious community, Bellbrook Estates. This European-inspired masterpiece is meticulously designed for hosting gatherings and offers an array of exquisite features including 5 fireplaces, a 1,500 bottle wine cellar, marble flooring, and an exceptionally private backyard oasis. Great room features a soaring ceiling, an elegant sweeping staircase, and captivating views of the outdoors. The chef's kitchen is a culinary haven, equipped with 2 dishwashers, Viking Professional Range, subzero refrigerator, & butler's pantry. The main wing boasts an executive study, a fitness room complete with a steam room plus sauna, a master suite with sitting area, and a spa-like bath. On the first floor, a guest suite with 2 bedrooms offers a private entrance, a full kitchen, and a living area, catering perfectly to extended guests. Resort-style backyard takes center stage, showcasing pool, outdoor kitchen, cabana with half bath. SEE VIDEO TOUR!Chevron DownShow more",7,9,3564,114,124 , 15 x 11,"Carpet, Ceramic Tile, Hardwood, Marble",Central,"Central Air, Ceiling Fan(s)","Some Gas Appliances, Built-In Refrigerator, Dishwasher, Disposal, Ice Maker, Microwave, Plumbed For Gas, Range, Some Commercial Grade, Trash Compactor, Vented Exhaust Fan, Warming Drawer, Wine Cooler","Wet Bar, Built-in Features, Cedar Closet(s), Chandelier, Decorative/Designer Lighting Fixtures, Double Vanity, Granite Counters, High Speed Internet, Kitchen Island, Loft, Multiple Staircases, Pantry, Tile Counters, Cable TV, Natural Woodwork, Walk-In Closet(s)",,,42253,10002090010070000," Split-Level , DetachedProperty ",SingleFamily,1995," Sewer Available, Water Available, Cable Available",,Bellbrook Estates,3%,,4,4,4,,,,," Washer Hookup, Electric Dryer Hookup, Gas Dryer Hookup, Laundry in Utility Room, Other",,,,,,,,,
5616 Preston Oaks Rd #1606,Dallas,TX,75254,32.94263,-96.8128,1264,https://www.zillow.com/homedetails/5616-Preston-Oaks-Rd-1606-Dallas-TX-75254/26900848_zpid/,240000,House,Swimming poolModern appliancesBrick exteriorVaulted ceilingsBuilt in shelvingWalk in closetFenced yard,"This GEM is a must see! 2 story, 2 bedroom, 2 bath, Townhome with attached 1 car garage in gated community. Onsite amenities include, swimming pool, 24-HR fitness center, dog park & more!  Brick exterior, electric gate, fenced yard. Interior boasts of hardwood flooring & tile downstairs, vaulted ceilings, open concept, modern appliances in kitchen & laundry room. Primary bedroom is carpeted, built in shelving and place for TV, walk in closet, full bath. Additional bedroom has carpet & full bath. Out back a balcony to sit and enjoy morning coffee. Just minutes from Downtown Dallas, easy access to freeway 635, Dallas North Tollway. Enjoy shopping, entertainment, & restaurants nearby.Chevron DownShow more",2,2,3781,101,49 ,,Other,Other,Other,,"High Speed Internet, Open Floorplan, Vaulted Ceiling(s), Walk-In Closet(s)",,2,,0029N830000P01606, TraditionalProperty ,SingleFamily,1982,,,Oaks On Montfort Ph 02 03 & 04,2.5%,,1,1,1,,,,,Other,,Yes,462.0,,,,,,"Interior Lot, Few Trees"
3874 Gaspar Dr,Dallas,TX,75220,32.869534,-96.84982,3827,https://www.zillow.com/homedetails/3874-Gaspar-Dr-Dallas-TX-75220/26790048_zpid/,1450000,House,Gas fireplaceBuilt-in refrigeratorModern designKitchenaid appliancesOutdoor kitchenCovered patioOversized laundry room,"Sophisticated, Modern, Brand new 4 bedroom, 4.5 bathroom home built by Dynamic Project. Foam insulation R-20. Frame 2x6. Open space in the foyer & living room. 8 ft. interior doors. Kitchen boasts a modern design with custom cabinets, quartz-oversized island, KitchenAid appliances including built-in refrigerator. Solid oak hardwood floors. 1st floor primary suite with stunning bathroom, freestanding tub, and walk-in closets. 1st floor offers an office, dining room, living area with gas fireplace & oversized laundry room. 2nd floor offers an additional 3 bedrooms with 3 full bathrooms, media room and 2nd living area with bar. Additional features include 6 cameras, alarm system, speakers around all of the common rooms, & 2 tankless water heaters. Covered patio with outdoor kitchen. Plenty of room for a pool! BE SURE TO CHECK OUT THE 3D MODEL & FLOOR PLAN.Chevron DownShow more",4,5,1753,125,61 , 11 x 13,Wood,"Central, Electric, Fireplace(s)","Central Air, Ceiling Fan(s), Electric","Built-In Refrigerator, Double Oven, Dishwasher, Gas Cooktop, Microwave, Tankless Water Heater, Vented Exhaust Fan","Wet Bar, Built-in Features, Decorative/Designer Lighting Fixtures, High Speed Internet, Kitchen Island, Open Floorplan, Vaulted Ceiling(s), Walk-In Closet(s), Wired for Sound",,2,7013 ,00000529771000000," Contemporary/Modern , DetachedProperty ",SingleFamily,2023," Sewer Available, Water Available",Security Service,Davilla Drive Estates,3%, 15 x 20,2,2,2,Curbs,,,, Laundry in Utility Room,,,,,,,,,
15705 Mapleview Cir,Dallas,TX,75248,32.964335999999996,-96.78001400000001,2147,https://www.zillow.com/homedetails/15705-Mapleview-Cir-Dallas-TX-75248/26873090_zpid/,524000,House,Basketball courtNew carpetGreat styleNeutral paletteBeamed ceilingTennis courtsClean exterior lines,"This four-bedroom home in the heart of N. Dallas’ desirable Prestonwood neighborhood is move-in ready and immaculate. This home offers a neutral palette and great style with clean exterior lines, a vaulted, beamed ceiling and a wood-burning fireplace. The kitchen overlooks the pool-backyard space and opens to the den. The bedrooms are upstairs and the primary suite has a balcony that overlooks the pool. 2023 updates include new carpet, paint, flooring, fixtures, & recessed lighting throughout the home. The 7 acre private park that serves this small, quiet neighborhood is an added bonus- complete with tennis courts, a basketball court, a walking-jog path, playgrounds and a community pool & clubhouse. Come see this gem in Holiday Park!Chevron DownShow more",4,3,1234,58,7 , 11 x 13,"Carpet, Laminate",Fireplace(s),"Central Air, Ceiling Fan(s)","Electric Oven, Electric Range, Microwave","Wet Bar, Decorative/Designer Lighting Fixtures, Granite Counters, High Speed Internet, Pantry, Vaulted Ceiling(s), Walk-In Closet(s)",,2,7579 ,8195 00B 10700 3DA8195 00B," Mid-Century Modern , Other , Traditional , DetachedProperty ",SingleFamily,1970," Sewer Available, Water Available",Smoke Detector(s),Prestonwood 1,3%, 10 x 11,2,2,2,"Other, Playground, Park, Tennis Court(s)",,,, In Garage,,Yes,99.0,,,,,,
10332 Muskogee Cir,Dallas,TX,75217,32.73744,-96.646904,3512,https://www.zillow.com/homedetails/10332-Muskogee-Cir-Dallas-TX-75217/26819354_zpid/,434999,House,Pot fillerNew paintNew kitchen amenitiesDual showersNew ceiling fansNew drywall insideNew wood floors,"This home is perfect for the a large growing family or a multi generational family. Updates throughout to include new kitchen amenities with stove top and pot filler. All new doors.  New wood floors - no carpet. Complete renovation to all bathrooms. Windows replaced. French drain added.
Dual showers in 2 of the full bathrooms. All new ceiling fans and light fixtures. New drywall inside and new paint inside and outside. Two laundry rooms. One upstairs and one downstairs. Two fireplaces, one in the owners suite and one in the living area. Backyard is pool sized.Chevron DownShow more",5,4,1643,197,70 ,,,,,"Dishwasher, Electric Oven, Electric Range, Disposal, Microwave","Eat-in Kitchen, Granite Counters, High Speed Internet, Open Floorplan, Tile Counters, Cable TV, Vaulted Ceiling(s), Walk-In Closet(s), Wired for Sound",None,2,5183 ,00000627232000000, DetachedProperty ,SingleFamily,1965," Sewer Available, Water Available, Cable Available",,Lake June Terrace,3%,,,,,,,,,,,,,,,,,,
7524 Amber Dr,Dallas,TX,75241,32.656242,-96.811165,1539,https://www.zillow.com/homedetails/7524-Amber-Dr-Dallas-TX-75241/67957173_zpid/,1750000,Multi-family home,,"Seize the moment with this exceptional opportunity to acquire a well-maintained rental portfolio comprising of 8 single-family residential (SFR) units. Currently, all units are tenant-occupied. This portfolio will be sold as a whole or two sets of 4 units; individual property sales will not be entertained. All houses are in the same subdivision and located on 2 streets.  Properties located near highway, shops, eateries and University of North Texas – Dallas campus.Chevron DownShow more",24,s,43,2,1,,"Carpet, Vinyl",Electric,Electric,"Dishwasher, Disposal",Cable TV,,2,5140 ,006629000M0160000,,,2004," Sewer Available, Cable Available",,Wisdom Terrace Ph 03,2.5%,,16,8,8,,,,,,,,,,,,,,
8225 Zoysia Ln,Dallas,TX,75252,32.991386,-96.75986999999999,2932,https://www.zillow.com/homedetails/8225-Zoysia-Ln-Dallas-TX-75252/304021750_zpid/,725000,House,Guest roomUpgraded flooringCustom closet systemsAccent walls,"Why settle for a 'typical' builder home when all the upgrades have already been done for you! Upgrades & customizations throughout. Accent walls in each room, custom closet systems in each closet, enlarged pantry, electric blinds, upgraded flooring, added guest room! Perfectly situated in North Dallas on the edge of Plano & Richardson! The moment you turn into University Place you will know you've found the right community! The second you walk in the door you will feel the perfect combination of elegance & warmth that you've been searching for! No reason to settle for any other home after seeing this beautiful, well maintained, one owner home! Don't risk it on another home! This one was built from the dirt up and had inspections before concrete was poured, walls were closed, plus after completion. You're just a walk across the street from the massive, pool, clubhouse, playground & dog park! Traffic is minimal in front of your home. Plano ISD! Virtually showings available upon request!Chevron DownShow more",4,3,1128,35,5 , 16 x 20,"Ceramic Tile, Simulated Wood",Central,Central Air,"Dishwasher, Gas Cooktop, Disposal, Gas Oven, Gas Water Heater, Microwave, Vented Exhaust Fan",,,2,4399 ,R1153900110401," Traditional , DetachedProperty ",SingleFamily,2019," Natural Gas Available, Sewer Available, Separate Meters, Underground Utilities, Water Available, Cable Available",Security System,University Place Add Ph 3,3%,,2,2,2,"Clubhouse, Fenced Yard, Gated, Playground, Park, Pool, Curbs, Sidewalks",,,," Washer Hookup, Electric Dryer Hookup, Laundry in Utility Room",,Yes,62.0,Window Coverings," Cedar Closet(s), Decorative/Designer Lighting Fixtures, Double Vanity, Eat-in Kitchen, Granite Counters, High Speed Internet, Kitchen Island, Open Floorplan, Cable TV, Vaulted Ceiling(s), Natural Woodwork, Walk-In Closet(s), Wired for Sound",,,,
3541 Kalterra Ct,Dallas,TX,75219,32.813084,-96.80554000000001,2070,https://www.zillow.com/homedetails/3541-Kalterra-Ct-Dallas-TX-75219/248830465_zpid/,624999,Townhouse,Meticulous designBuilt-in refrigeratorNatural lightLarge picture windowDual sinksSpacious bedroomOpen concept design,"Now bright and freshly painted, this three-bedroom, three-story townhouse is the epitome of sophisticated urban living infused with bold energy. It is perfectly placed in the heart of Dallas so you can continue your engaged and vibrant lifestyle. With 10-foot ceilings, meticulous design, and a consistent and striking aesthetic, this residence offers a lifestyle that's beyond compare. The chef's kitchen is a culinary dream, featuring exquisite marble countertops, custom cabinetry, a built-in refrigerator, and high end appliances. Its open concept design floods the space with natural light, creating an inviting atmosphere that's perfect for entertaining. The first floor hosts a spacious bedroom with a large picture window and custom closet, offering a comfortable and private space. The primary suite is a true sanctuary, boasting a stunning spa-like bathroom with dual sinks and an oversized walk-in shower. With a two-car garage and expanded garage storage, this home caters to your needs.Chevron DownShow more",3,3,2419,190,71 ,,Hardwood,,Central Air,"Built-In Gas Range, Built-In Refrigerator, Dishwasher, Disposal, Microwave","Decorative/Designer Lighting Fixtures, Double Vanity, High Speed Internet, Multiple Staircases, Open Floorplan, Pantry, Smart Home, Cable TV, Walk-In Closet(s)",,3,1481 ,001318000103B0000,,,2018," Sewer Available, Water Available, Cable Available",,Bowser Heights,3%, 7 x 10,2,2,2,,,,,,,Yes,275.0,,,,,,
15941 Longvista Dr,Dallas,TX,75248,32.96676,-96.785965,2423,https://www.zillow.com/homedetails/15941-Longvista-Dr-Dallas-TX-75248/26873193_zpid/,549000,House,Classic design,"This charming single-family home is located at 15941 Longvista Dr, Dallas, TX. Built in 1972, it offers a timeless appeal with its classic design. Featuring 2 bathrooms and no half bathroom, this home provides ample space for comfortable living. Spanning across 2,423 sq.ft. of finished area, there is plenty of room for all your needs. The property sits on a generous lot size of 0.27 acres, offering a spacious outdoor area for relaxation or potential expansion. With its character and size, this home presents a wonderful opportunity for a variety of lifestyles.Chevron DownShow more",4,2,1951,33,55 , 16 x 10,"Carpet, Ceramic Tile","Central, Natural Gas","Central Air, Ceiling Fan(s), Electric","Dishwasher, Electric Cooktop, Electric Oven, Disposal, Gas Water Heater","Wet Bar, Chandelier, Cathedral Ceiling(s), Decorative/Designer Lighting Fixtures, Double Vanity, Eat-in Kitchen, Paneling/Wainscoting, Natural Woodwork",,1,11761,00000797687560000, DetachedProperty ,SingleFamily,1972," Cable Available, Electricity Connected, Natural Gas Available, Sewer Available, Separate Meters, Water Available",,Prestonwood,3%,,2,2,2,Curbs,,,,,,Yes,,,,,,,
4306 Bobbitt Dr,Dallas,TX,75229,32.897079999999995,-96.83542,5172,https://www.zillow.com/homedetails/4306-Bobbitt-Dr-Dallas-TX-75229/26757120_zpid/,1649000,House,Craft roomPrivate office areaLarge family roomSeparate bar areaOversized pool,"Nestled in the prestigious private school corridor of Dallas, 4306 Bobbitt stands as a testament to luxurious living. This 5,172 square foot home is meticulously updated and thoughtfully designed. Numerous recent updates have been made to the home including a beautifully appointed master bath and closet, separate bar area, private office area, and craft room.For those who appreciate organization and storage space, this home is a dream come true. The dining experience is elevated with two distinct eating areas that cater to both formal and casual gatherings.Step outside, and you'll be greeted by an oversized pool and an inviting outdoor area. There is also a grassy area and garden area. With the primary bedroom located on the main level and three additional bedrooms on the upper level, this home offers both privacy and convenience for you and your family. The heart of the home, the large family room, features a captivating brick wall with a fireplace. And a spacious 3 car garage.Chevron DownShow more",4,4,1959,95,71 , 10 x 12,"Carpet, Ceramic Tile, Hardwood",Central,Central Air,"Some Gas Appliances, Built-In Refrigerator, Convection Oven, Double Oven, Dishwasher, Electric Oven, Gas Cooktop, Disposal, Gas Water Heater, Ice Maker, Microwave, Plumbed For Gas, Refrigerator, Vented Exhaust Fan, Washer, Wine Cooler",,,2,16552,00000414325000000," Traditional , DetachedProperty ",SingleFamily,1964," Electricity Available, Natural Gas Available, Sewer Available, Separate Meters, Water Available, Cable Available",,Luna Park Estates,3%, 12 x 13,3,3,3,Curbs,,,," Washer Hookup, Laundry in Utility Room",,,,Bay Window(s)," Wet Bar, Dry Bar, Decorative/Designer Lighting Fixtures, Double Vanity, Eat-in Kitchen, High Speed Internet, Kitchen Island, Pantry, Cable TV, Vaulted Ceiling(s), Walk-In Closet(s)",,,,
7610 Kilmichael Ln,Dallas,TX,75248,32.976994,-96.77601999999999,3164,https://www.zillow.com/homedetails/7610-Kilmichael-Ln-Dallas-TX-75248/26875344_zpid/,929500,House,Sparkling poolFrench doorsNearby parksScenic jogging trailsGrand primary suiteWarm wood flooring throughoutDelightful kitchen,"Step into this Highlands North home in Dallas, Texas and be greeted by a grand primary suite, split bedrooms, and a charming home office with French doors – perfect for those work-from-home days. You'll love the warm wood flooring throughout the living areas and the delightful kitchen that's just waiting for your culinary creations. Step outside and envision yourself relaxing on the covered patio or taking a dip in the sparkling pool and spa.  This home is also suited for stowing your vehicles in the three-car garage. And with nearby parks, a serene lake, and scenic jogging trails, the outdoor adventures are endless. Plus, the added convenience of being in the Richardson Independent School District zone makes this home the complete package. Don't miss out – schedule a showing today and experience the irresistible charm of this remarkable property.Chevron DownShow more",4,4,1988,76,12 , 14 x 13,"Carpet, Ceramic Tile, Wood",Central,Central Air,"Built-In Gas Range, Double Oven, Dishwasher, Disposal",,,1,11325,00000799448080000," Traditional , DetachedProperty ",SingleFamily,1977," Sewer Available, Water Available",,Highlands North Sec 02,3%,,3,3,3,,,,,,,,,"Plantation Shutters, Window Coverings", Wet Bar,,,,
9458 Gatetrail Dr,Dallas,TX,75238,32.882668,-96.72601999999999,4217,https://www.zillow.com/homedetails/9458-Gatetrail-Dr-Dallas-TX-75238/26867443_zpid/,1500000,House,Classic architectureHome officeLarge kitchenArtificial turfBuilt-in grillCovered patioRec center,"This beautiful SFR home offers a spacious living environment with a finished area of 4,217 sq.ft. Located in the desirable White Rock Elementary area, it boasts 5 bedrooms, 4.5 bathrooms, plus a home office and large gameroom. An open layout, large kitchen with 8x4 island, and numerous dining options allows for optimal entertaining. The property is two stories with the primary bedroom and office downstairs with all other bedrooms and gameroom upstairs, allowing for ample space and privacy. Situated on a generous lot measuring 9,310 sq.ft., there is plenty of outdoor space that features a covered patio, built-in grill, and artificial turf for relaxation and play. With its classic architecture and desirable location near Lake Highlands North park and the Rec center or pool, this home presents a wonderful opportunity for comfortable and convenient living.Chevron DownShow more",6,5,2017,124,14 , 20 x 16,"Carpet, Hardwood, Tile","Central, ENERGY STAR Qualified Equipment, Fireplace(s), Natural Gas","Attic Fan, Central Air, Ceiling Fan(s), Electric, ENERGY STAR Qualified Equipment, Wall Unit(s)","Built-In Gas Range, Built-In Refrigerator, Convection Oven, Double Oven, Dryer, Dishwasher, Gas Cooktop, Disposal, Gas Oven, Gas Water Heater, Microwave, Refrigerator, Vented Exhaust Fan, Washer","Built-in Features, Chandelier, Decorative/Designer Lighting Fixtures, Double Vanity, Eat-in Kitchen, High Speed Internet, Kitchen Island, Open Floorplan, Pantry, Smart Home, Walk-In Closet(s)",,2,9321 ,00000793768000000," Other , DetachedProperty ",SingleFamily,1965," Electricity Available, Electricity Connected, Natural Gas Available, Sewer Available, Separate Meters, Underground Utilities, Water Available","Security System, Carbon Monoxide Detector(s), Fire Alarm, Smoke Detector(s)",White Rock North,3 - $350 Admin Fee%,,2,2,2,Curbs,,,," Washer Hookup, Electric Dryer Hookup, Laundry in Utility Room",,,,,,,,,
2141 Helsminster Dr,Dallas,TX,75201,32.77928,-96.789986,2921,https://www.zillow.com/homedetails/2141-Helsminster-Dr-Dallas-TX-75201/122302049_zpid/,1079000,Townhouse,Oversized garageExtra windowsSs bosch appliancesSubdivision poolJetted tubPlantation shuttersWalk-in pantry,"Exceptional townhome in premier Farmers Market location is gorgeous, pristine and has excellent quality throughout. Approximately 3,000 sq ft, this corner home has extra windows, generous closets, oversized garage, plantation shutters, solid oak hardwoods, and mudroom cabinetry in entry among other abundant upscale amenities. 12-foot ceilings, the well-appointed oversized gourmet kitchen with stunning granite countertops, SS Bosch appliances, wine cooler, walk-in pantry, & extensive cabinetry add to the luxurious feel. Spacious third floor primary bedroom features a sitting area & gorgeous bath with jetted tub, separate shower and two huge walk-in closets. Down the hallway, the third ensuite bedroom contains a Murphy bed which remains with the home. Inviting, oversized first floor guest suite. Relaxing fourth floor rooftop deck has prewired cable and TV mount. New Harwood Park is one block away. Dining & shopping at Farmer's Market are across the street. Subdivision pool.Chevron DownShow more",3,4,373,9,2 ,,"Hardwood, Stone, Tile","Central, Natural Gas, Zoned","Central Air, Ceiling Fan(s), Electric, Zoned","Some Gas Appliances, Dishwasher, Electric Oven, Gas Cooktop, Disposal, Gas Water Heater, Microwave, Plumbed For Gas, Tankless Water Heater, Vented Exhaust Fan, Wine Cooler",,,3,2744 ,000142000A0790000, TraditionalProperty ,Townhouse,2013," Electricity Connected, Natural Gas Available, Phone Available, Sewer Available, Separate Meters, Underground Utilities, Water Available, Cable Available","Prewired, Security System Owned, Security System, Fire Alarm, Firewall(s), Fire Sprinkler System, Smoke Detector(s), Security Lights",Intown Home/Farmers Market,3%, 20 x 20,2,2,2,"Curbs, Sidewalks",,, 6 x 6," Washer Hookup, Electric Dryer Hookup, Laundry in Utility Room",,Yes,170.0,Plantation Shutters," Chandelier, Decorative/Designer Lighting Fixtures, Double Vanity, Eat-in Kitchen, Granite Counters, High Speed Internet, Kitchen Island, Open Floorplan, Pantry, Cable TV, Walk-In Closet(s), Wired for Sound",,,,
2817 Crest Ridge Dr,Dallas,TX,75228,32.830505,-96.66601,1566,https://www.zillow.com/homedetails/2817-Crest-Ridge-Dr-Dallas-TX-75228/26842319_zpid/,425000,House,Modern marvelModern fixturesSmart light fixtures throughoutQuartz countertopsNew windows throughoutHuge backyardCovered gazebo,"This house is smarter than a 3rd Grader!!  A modern marvel with smart light fixtures throughout and Nest thermostat. TOTAL renovation. Huge backyard with covered gazebo and firepit....and there is still room for a pool! 3 bedrooms and a garage conversion that can be a living area or 4th bedroom. 20 minutes to Downtown Dallas and 10 minutes to White Rock Lake and Arboretum. Home is upgraded throughout with brand new shaker cabinets, quartz countertops, REFINISHED original wood floors, modern fixtures, and 2 full baths. NEW WINDOWS THROUGHOUT. CUSTOM CLOSET IN EACH BEDROOM. This is only what you will see on the surface. Piers and beams have been replaced and plumbing under house has been repaired and upgraded. New insolation in attic. With this home YOU will be the gathering place for your friends and neighbors. No expense has been spared - a perfect blend of comfort, location and sophistication for the refined and discerning buyer.  Come and make this Dallas retreat your very own today!Chevron DownShow more",4,2,1284,87,30 , 14 x 8,,Central,"Ceiling Fan(s), Electric","Dishwasher, Disposal, Gas Range, Gas Water Heater, Microwave, Refrigerator","Decorative/Designer Lighting Fixtures, Eat-in Kitchen, High Speed Internet, Kitchen Island, Open Floorplan, Cable TV",,1,13068,00000713587000000," Traditional , DetachedProperty ",SingleFamily,1954," Electricity Available, Natural Gas Available, Sewer Available, Separate Meters, Water Available, Cable Available",Key Card Entry,Casa View Heights Add 09 Instl,3%,,1,,1,"Curbs, Sidewalks",1,,,,,,,,,,,,
8804 Larchwood Dr,Dallas,TX,75238,32.868507,-96.70069000000001,1503,https://www.zillow.com/homedetails/8804-Larchwood-Dr-Dallas-TX-75238/26843686_zpid/,615000,House,Gleaming poolEngineered hardwoodsSubway tileStylish furnishingsLandscaped backyardWhite cabinetsNew gutters,"Welcome home to your updated, Lake Highlands charmer! Party after party as this L-Street stunner is an entertainer's dream! The backyard is your own personal paradise featuring a large covered living area that overlooks the gleaming pool, landscaped backyard that has plenty of space to get sun or shade. The updated kitchen features oak butcher block counters, white cabinets, subway tile, gas cooktop and double ovens. The island has a quartz top with plenty of additional storage. There is a large single bowl SS sink. Both bathrooms are updated. Engineered hardwoods, on trend paint colors and stylish furnishings (negotiable) round out the space. TAKE NOTE: plenty of additional storage, completely remodeled 2 car garage, new gutters, roof, HVAC, and water heater all under 5 years old. No HOA and sought after schools! You can't beat this location and house. Must see! Open Houses: Sunday, Jan 21 from 1-3 p.m.Chevron DownShow more",3,2,988,50,8 ,,"Carpet, Ceramic Tile, Wood","Central, Natural Gas","Central Air, Ceiling Fan(s), Electric","Double Oven, Dryer, Dishwasher, Gas Cooktop, Disposal, Gas Water Heater, Microwave, Refrigerator, Washer","Decorative/Designer Lighting Fixtures, Double Vanity, Eat-in Kitchen, Kitchen Island, Paneling/Wainscoting",,1,9147 ,00000717754000000,,,1959," Cable Available, Natural Gas Available, Sewer Available, Underground Utilities, Water Available",Smoke Detector(s),Lake Highlands Estates,2.5%,,2,2,2,Sidewalks,,,,,,,,,,,,,
3331 Herbert St,Dallas,TX,75212,32.78248,-96.83041999999999,3700,https://www.zillow.com/homedetails/3331-Herbert-St-Dallas-TX-75212/96500457_zpid/,965000,House,Vaulted ceilingsPergola patio areaGame roomSliding glass doors,"Discovery luxurious living in this modern 4 bedroom 4 bathroom 3,700 sqft home. The game room can easily be converted to an additional bedroom with its own balcony suitable for a private retreat for a guest. This home offers a stunning rooftop view overlooking Downtown Dallas with an ideal blend of sophistication and comfort. As you step inside, be greeted by the allure of vaulted ceilings that amplify the sense of space and elegance. Entertain or unwind in the pergola patio area perfect for enjoying serene moments or hosting gatherings with sliding glass doors seamlessly blending the kitchen, living room, and backyard oasis. Living in a coveted growing location of Trinity Groves this home is perfect for someone looking for an exquisite yet refined vibrant lifestyle. ** Washer and Dryer and Refrigerator are virtually staged **Chevron DownShow more",4,4,1872,146,14 ,,"Combination, Ceramic Tile, Hardwood, Luxury Vinyl Plank, Tile","Central, Electric, Fireplace(s)","Central Air, Ceiling Fan(s), Electric","Dishwasher, Electric Cooktop, Electric Oven, Disposal, Microwave","Chandelier, Cathedral Ceiling(s), Decorative/Designer Lighting Fixtures, Double Vanity, Eat-in Kitchen, Kitchen Island, Multiple Staircases, Open Floorplan, Pantry, Vaulted Ceiling(s), Walk-In Closet(s)",,3,5183 , 00000672343000000," Contemporary/Modern , DetachedProperty ",SingleFamily,2023," Cable Available, Electricity Available, Electricity Connected, Natural Gas Available, Sewer Available, Separate Meters, Water Available","Fire Alarm, Smoke Detector(s)",Heights Macarthur,3%,,2,2,2,"Trails/Paths, Curbs, Sidewalks",,,," Washer Hookup, Electric Dryer Hookup, Laundry in Utility Room",Pergola,,,,,,,,
4602 Stigall St,Dallas,TX,75209,32.848385,-96.83156,3701,https://www.zillow.com/homedetails/4602-Stigall-St-Dallas-TX-75209/26734685_zpid/,1350000,House,Spacious bedroomsPrimary suiteMini kitchenSmart homeSmart lighting,"Endless Luxury Modern New Home,Custom Driveway,8 ft Cedar Wood Fence,Custom Stone,Stucco,Oversized Custom Casement Windows Double Iron Metal Glass Door,Glass Door Railing Balcony,Mirrored Garage,3701 Sqft.5 bedrooms 5.5 baths,Modern Glass Railing,Solid-core Interior Doors,Solid White Oak Hardwood Floors,Foam Insulation with Level 5 Slick Finish Drywall.CONTROL-4 Smart Home with Smart Lighting & wired w CAT-6E High Speed Internet 4 Security Cameras,2 Tankless Water Heaters,Mud and Laundry,Wine room,Powder room,Office or Addit'l Bedroom w ensuite Full Bathroom.Gourmet Kitchen Quartz Countertops,Large Waterfall Island,Custom Glass Led Lighted Modern Handmade Cabinets by KTI,48inch Smart Dual Function Gas Stove.Primary Suite w Master Bathroom Mirrela Custom Porcelain Tiles,Rainfall Shower Spa,Solid Surface Freestanding Soaking Bathtub,Custom Closet,Back Patio w grill and mini Kitchen.Upstairs-3 spacious Bedrooms w ensuite Bathrooms,Lounge area,Media-gameroom.Come See Beauty At It's FinestChevron DownShow more",5,6,1787,136,20 ,,Hardwood,Central,Central Air,"Disposal, Gas Oven, Microwave, Trash Compactor, Tankless Water Heater, Vented Exhaust Fan","Chandelier, Decorative/Designer Lighting Fixtures, Double Vanity, Granite Counters, High Speed Internet, Kitchen Island, Loft, Pantry, Cable TV, Walk-In Closet(s), Wired for Sound",,2,6751 ,00000353320000000," Contemporary/Modern , DetachedProperty ",SingleFamily,2023," Sewer Available, Water Available, Cable Available","Security System, Carbon Monoxide Detector(s)",Greenway Terrace,3%,,4,2,2,,2,,," Washer Hookup, Electric Dryer Hookup, Laundry in Utility Room",,,,,,,,,
